100MHz/600/0.2A	3	"R10 R14 R16"	R_SM0402	Farnell	1961693	WURTH ELEKTRONIK	7427927161	FERRITE BEAD; 600R; 0.25A; 0402;
560_0402	1	"R49"	R_SM0402	Digi-Key	RMCF0402FT560RCT-ND	Stackpole Electronics Inc.	RMCF0402FT560R	RES SMD 560 OHM 1% 1/16W 0402	560
SW_TACTILE	1	"SW1"	SW_B3U-1000P	Digi-Key	SW1020CT-ND	Omron Electronics Inc-EMC Div	B3U-1000P	SWITCH, TACTILE, SPST-NO, 0.05A, 12V,	SW_Tactile
NCP349	1	"U4"	6-DFN	Digi-Key	NCP349MNAETBGOSCT-ND	ON Semiconductor	NCP349MNAETBG	IC CTLR OVP 28V W/NMOS 6-DFN
AP7361-FGE-7_ADJ_LDO	4	"U7 U8 U10 U11"	8-UDFN3030	Digi-Key	AP7361-FGE-7DICT-ND	Diodes Incorporated	AP7361-FGE-7	IC REG LDO ADJ 1A 8DFN	AP7361-FGE-7
SI5351C	1	"U1"	QFN20	DigiKey	336-2402-5-ND	Silicon Laboratories Inc	SI5351C-B-GM	IC, CLK GENERATOR, 160MHZ, 20QFN,	SI5351C
AD5601B	1	"U22"	SC-70-6	Digi-Key	AD5601BKSZ-REEL7CT-ND	Analog Devices Inc	AD5601BKSZ-REEL7	IC DAC 8BIT BUFF V-OUT SC70-6
LP5900SD-3.3	1	"U5"	SC70	Digi-Key	LP5900SD-3.3/NOPBCT-ND	NATIONAL SEMICONDUCTOR	LP5900SD-3.3/NOPB	IC REG, LDO, 3.3V, 0.15A, 6WSON,	LP5900SD-3.3
LP5900SD-1.8	1	"U6"	SC70	Digi-Key	LP5900SD-1.8/NOPBCT-ND	Texas Instruments	LP5900SD-1.8/NOPB	IC REG LDO 1.8V 0.15A 6WSON	LP5900SD-1.8
SC4524	2	"U2 U3"	SOIC-8	Farnell	1892639	SEMTECH	SC4524CSETRT	IC, DC-DC CONV, 2MHz, 8-SOIC	SC4524
38.4MHZ_TCXO	1	"X4"	TCXO_2x2.5mm	OSC VCTCXO 38.4MHZ SNWV SMD	ASVTX-12-A-38.400MHZ-H10-T	535-11790-1-ND	Abracon LLC	Digi-Key	38.4MHz TCXO NOFIT	NOFIT
RACON_TXCO_PLUTO+	1	"X3"	SMD_TXCO_Pluto+	Rakon	E6245LF	Rakon	E6245LF	30.72MHz, RPT7050A, Pluto+,	E6245LF_30.72MHz
CRYSTAL_19.2MHZ	1	"XO1"	4-SMD_TCXO	Digi-Key	535-10927-1-ND	Abracon LLC	ABM10-19.200MHZ-D30-T3	Crystal 19.2000MHz 20ppm 10pF 150 Ohm -40°C - 85°C Surface Mount 4-SMD, No Lead (DFN, LCC)	19.2MHz
